id,beta,c,thetaL,thetaH,uL,uH,,theta,q,p,seller,buyer
1,1,1,2,4,0,0,,2,1,2,1,0
2,1,1,2,4,0,0,,2,1,2,1,0
3,1,1,2,4,0,0,,2,1,2,1,0
4,1,1,2,4,0,0,,2,1,2,1,0
5,1,1,2,4,0,0,,2,1,2,1,0
6,0,1,2,4,0,0,,4,4,8,4,0
7,0,1,2,4,0,0,,4,4,8,4,0
8,0,1,2,4,0,0,,4,4,8,4,0
9,0,1,2,4,0,0,,4,4,8,4,0
10,0,1,2,4,0,0,,4,4,8,4,0
11,1,2,2,4,0,0,,2,0.25,1,0.5,0
12,1,2,2,4,0,0,,2,0.25,1,0.5,0
13,1,2,2,4,0,0,,2,0.25,1,0.5,0
14,1,2,2,4,0,0,,2,0.25,1,0.5,0
15,1,2,2,4,0,0,,2,0.25,1,0.5,0
16,0,2,2,4,0,0,,4,1,4,2,0
17,0,2,2,4,0,0,,4,1,4,2,0
18,0,2,2,4,0,0,,4,1,4,2,0
19,0,2,2,4,0,0,,4,1,4,2,0
20,0,2,2,4,0,0,,4,1,4,2,0
