id,question,choice1,choice2,choice3,choice4,choice5,choice6,solution,explanation
1,"???????? ??, ??? ???? ???? (????? 1 / ????? 2) ????????? ? ??????? ?????????????",??,???,?? ????,,,,???,???? ???? ????????? ?????????? ? ??????? ????? ????????????
2,"?????? ??????????? ????, ??? ? ??? ????? ???? ? ??? ?? ???????? ???????????? ? ???????? ???????? ?? ???? ???? ??????",??? ??????? ?? ????????,??? ??????? ????? ?????????? ????????? ??????? ????? ?????? ?????,?? ????,,,,??? ??????? ????? ?????????? ????????? ??????? ????? ?????? ?????,?????? ????? ? ??? ????? ????? ??????? ? ?????? ????????? ????
3,"??????? ??????? ?? ????????, ???? ??????????? ?????? 1 ????? ??????????",,,,,,,0,"????? ?? ??????? ?? ????? ????, ??? ?????? ???????? 0 ??????? ? ?????? ?????? ?? ???????????"
4,????? ???????????? ?????????? ??????? ?? ?????? ???????? ??? ?????? ? ??????? ?????????????,,,,,,,100,"?????? ???? ?? ???? ??? ????? ???????? ??????? ??? ??????, ? ? ?????? ???? ????? ???????? ????? ??????? 100 ???????"
5,????? ??????????? ?????????? ??????? ?? ?????? ???????? ??? ?????? ? ??????? ?????????????,,,,,,,0,? ?????? ???? ??????????? ??????? - 0 ???????
6,"? ???? 1 ????? 2 ????? ??????????? ?????? 1 ?? ??? ????? ????, ??? ??????? ??????",??,?????,?? ????,,,,?????,"?????? 2 ????????? ??????? 11 ???????, ??? ???? ????????? ??????? ?????? 1"
7,?????? ?? ???-?? ?????? ????? 2 ? ???? 2?,??,???,?? ????,,,,???,??? ??????? ??? ?????? - ?????? ?????? ?????? 1
8,??????? ??????? ?????? ??????? ????? 1 ? ???? 3?,,,,,,,2,"??-??????, ????? 1 ?????? ?????? ??????? ?????????? ?????? 2, ???? ????? 2 ??????? ???? 1. ??-??????, ????? 1 ?????? ?????? ??????? ?????????? ?????? 2, ???? ????? 2 ??????? ???? 2"
9,??????? ??????? ?????? ??????? ????? 2 ? ???? 3?,1,2,3,1 ??? 2 ? ??????????? ?? ??????? ???????,1 ??? 12 ? ??????????? ?? ??????? ???????,?? ????,1 ??? 12 ? ??????????? ?? ??????? ???????,"???? ????? 2 ?????? ???? 2, ?? ?????? ??????? ??? 11 ???????, ?? ?????? ??? ??????? ?????????? ??????????? ?????? 1"
10,"?? ????? ???? 3 ????? ?? ????? 1 ?????????? ?????? ?????????? ??????? ?????? 2, ? ??????????? ?? ????, ????? ???? ?????? ????? 2?",??,???,?? ????,,,,??,"??? ????, ??? ????? 1 ?????? ??? ??????, ???????? ????? ???"
,,,,,,,,,
